Net Status Report
Filename     : E:\MyData\VFD-Clock\Project\Hardware\VFD-Clock.PcbDoc
Date         : 2018/8/30
Time         : 22:44:58
Time Elapsed : 00:00:01

Nets, Layer, Length
    T2-2, Signal Layers Only, 526.456mils
    T2-3, Signal Layers Only, 917.198mils
    T2-4, Signal Layers Only, 1310.605mils
    T2-5, Signal Layers Only, 1348.221mils
    T2-6, Signal Layers Only, 1363.08mils
    T2-7, Signal Layers Only, 1349.713mils
    T2-8, Signal Layers Only, 1285.536mils
    T3-1, Signal Layers Only, 338.603mils
    T3-2, Signal Layers Only, 459.092mils
    T3-3, Signal Layers Only, 869.839mils
    T3-4, Signal Layers Only, 1256.975mils
    T3-5, Signal Layers Only, 1258.623mils
    T3-6, Signal Layers Only, 1275.068mils
    T3-7, Signal Layers Only, 1271.966mils
    T3-8, Signal Layers Only, 1205.074mils
    T4-1, Signal Layers Only, 404.992mils
    T4-2, Signal Layers Only, 505.318mils
    T4-3, Signal Layers Only, 905.857mils
    T4-4, Signal Layers Only, 1357.303mils
    T4-5, Signal Layers Only, 1400.462mils
    T4-6, Signal Layers Only, 1408.357mils
    T4-7, Signal Layers Only, 1388.488mils
    T4-8, Signal Layers Only, 1289.372mils
    T5-1, Signal Layers Only, 415.389mils
    T5-2, Signal Layers Only, 514.729mils
    T5-3, Signal Layers Only, 908.714mils
    T5-4, Signal Layers Only, 1422.405mils
    T5-5, Signal Layers Only, 1427.746mils
    T5-6, Signal Layers Only, 1442.412mils
    T5-7, Signal Layers Only, 1411.897mils
    T5-8, Signal Layers Only, 1296.917mils
    T6-1, Signal Layers Only, 408.075mils
    T6-2, Signal Layers Only, 506.997mils
    T6-3, Signal Layers Only, 898.463mils
    T6-4, Signal Layers Only, 1353.076mils
    T6-5, Signal Layers Only, 1387.055mils
    T6-6, Signal Layers Only, 1397.205mils
    T6-7, Signal Layers Only, 1383.616mils
    T6-8, Signal Layers Only, 1284.562mils
    TX1, Signal Layers Only, 3033.651mils
    UD+, Signal Layers Only, 1098.073mils
    UD-, Signal Layers Only, 1018.818mils
    USB-Ctl, Signal Layers Only, 872.192mils
    USB_N, Signal Layers Only, 159.22mils
    USB_P, Signal Layers Only, 728.834mils
count : 175
